run_id,player_count,matchup,game_index,winner_agent,p1_agent,p1_vp,p2_agent,p2_vp,p3_agent,p3_vp,p4_agent,p4_vp,total_turns
20260420_221009,2,random+heuristic,1,heuristic,random,2,heuristic,10,,,,,59
20260420_221009,2,random+mcts,1,mcts,random,2,mcts,10,,,,,59
20260420_221009,2,random+monte_carlo,1,monte_carlo,random,2,monte_carlo,10,,,,,59
20260420_221009,2,random+heuristic,2,heuristic,random,2,heuristic,10,,,,,45
20260420_221009,2,random+heuristic,3,heuristic,random,2,heuristic,10,,,,,112
20260420_221009,2,random+heuristic,4,heuristic,random,2,heuristic,10,,,,,55
20260420_221009,2,random+heuristic,5,heuristic,random,2,heuristic,10,,,,,139
20260420_221009,2,random+heuristic,6,heuristic,random,2,heuristic,10,,,,,59
20260420_221009,2,random+heuristic,7,heuristic,random,3,heuristic,10,,,,,75
20260420_221009,2,random+heuristic,8,heuristic,random,2,heuristic,10,,,,,97
20260420_221009,2,random+heuristic,9,heuristic,random,4,heuristic,10,,,,,81
20260420_221009,2,random+heuristic,10,heuristic,random,2,heuristic,10,,,,,76
20260420_221009,2,random+heuristic,11,heuristic,random,2,heuristic,11,,,,,80
20260420_221009,2,random+heuristic,12,heuristic,random,3,heuristic,10,,,,,38
20260420_221009,2,random+heuristic,13,heuristic,random,3,heuristic,10,,,,,73
20260420_221009,2,random+heuristic,14,heuristic,random,3,heuristic,10,,,,,118
20260420_221009,2,random+heuristic,15,heuristic,random,2,heuristic,10,,,,,73
20260420_221009,2,random+heuristic,16,heuristic,random,2,heuristic,10,,,,,86
20260420_221009,2,random+heuristic,17,heuristic,random,4,heuristic,10,,,,,72
20260420_221009,2,random+heuristic,18,heuristic,random,2,heuristic,10,,,,,89
20260420_221009,2,random+heuristic,19,heuristic,random,2,heuristic,10,,,,,67
20260420_221009,2,random+heuristic,20,heuristic,random,4,heuristic,11,,,,,90
20260420_221009,2,random+heuristic,21,heuristic,random,1,heuristic,10,,,,,96
20260420_221009,2,random+heuristic,22,heuristic,random,2,heuristic,10,,,,,59
20260420_221009,2,random+heuristic,23,heuristic,random,2,heuristic,10,,,,,101
20260420_221009,2,random+heuristic,24,heuristic,random,2,heuristic,10,,,,,46
20260420_221009,2,random+heuristic,25,heuristic,random,2,heuristic,10,,,,,120
20260420_221009,2,random+heuristic,26,heuristic,random,2,heuristic,10,,,,,62
20260420_221009,2,random+heuristic,27,heuristic,random,2,heuristic,10,,,,,59
20260420_221009,2,random+heuristic,28,heuristic,random,3,heuristic,11,,,,,63
20260420_221009,2,random+heuristic,29,heuristic,random,2,heuristic,10,,,,,90
20260420_221009,2,random+heuristic,30,heuristic,random,3,heuristic,10,,,,,105
20260420_221009,2,random+heuristic,31,heuristic,random,3,heuristic,10,,,,,58
20260420_221009,2,random+heuristic,32,heuristic,random,2,heuristic,10,,,,,93
20260420_221009,2,random+heuristic,33,heuristic,random,2,heuristic,10,,,,,116
20260420_221009,2,random+heuristic,34,heuristic,random,2,heuristic,10,,,,,73
20260420_221009,2,random+heuristic,35,heuristic,random,3,heuristic,10,,,,,95
20260420_221009,2,random+heuristic,36,heuristic,random,2,heuristic,10,,,,,57
20260420_221009,2,random+heuristic,37,heuristic,random,2,heuristic,10,,,,,71
20260420_221009,2,random+heuristic,38,heuristic,random,2,heuristic,10,,,,,47
20260420_221009,2,random+heuristic,39,heuristic,random,2,heuristic,10,,,,,113
20260420_221009,2,random+heuristic,40,heuristic,random,2,heuristic,10,,,,,47
20260420_221009,2,random+heuristic,41,heuristic,random,2,heuristic,10,,,,,64
20260420_221009,2,random+heuristic,42,heuristic,random,3,heuristic,10,,,,,70
20260420_221009,2,random+heuristic,43,heuristic,random,2,heuristic,10,,,,,88
20260420_221009,2,random+heuristic,44,heuristic,random,2,heuristic,10,,,,,62
20260420_221009,2,random+heuristic,45,heuristic,random,2,heuristic,11,,,,,75
20260420_221009,2,random+heuristic,46,heuristic,random,5,heuristic,10,,,,,76
20260420_221009,2,random+heuristic,47,heuristic,random,2,heuristic,10,,,,,54
20260420_221009,2,random+heuristic,48,heuristic,random,2,heuristic,10,,,,,81
20260420_221009,2,random+heuristic,49,heuristic,random,2,heuristic,10,,,,,73
20260420_221009,2,random+heuristic,50,heuristic,random,2,heuristic,10,,,,,70
20260420_221009,2,random+heuristic,51,heuristic,random,2,heuristic,10,,,,,58
20260420_221009,2,random+heuristic,52,heuristic,random,1,heuristic,10,,,,,73
20260420_221009,2,random+heuristic,53,heuristic,random,2,heuristic,10,,,,,39
20260420_221009,2,random+heuristic,54,heuristic,random,3,heuristic,10,,,,,56
20260420_221009,2,random+heuristic,55,heuristic,random,2,heuristic,10,,,,,83
20260420_221009,2,random+heuristic,56,heuristic,random,2,heuristic,10,,,,,61
20260420_221009,2,random+heuristic,57,heuristic,random,2,heuristic,10,,,,,78
20260420_221009,2,random+heuristic,58,heuristic,random,2,heuristic,10,,,,,89
20260420_221009,2,random+heuristic,59,heuristic,random,3,heuristic,10,,,,,64
20260420_221009,2,random+heuristic,60,heuristic,random,2,heuristic,10,,,,,70
20260420_221009,2,random+heuristic,61,heuristic,random,2,heuristic,10,,,,,53
20260420_221009,2,random+heuristic,62,heuristic,random,2,heuristic,10,,,,,138
20260420_221009,2,random+heuristic,63,heuristic,random,2,heuristic,10,,,,,81
20260420_221009,2,random+heuristic,64,heuristic,random,2,heuristic,10,,,,,120
20260420_221009,2,random+heuristic,65,heuristic,random,2,heuristic,10,,,,,44
20260420_221009,2,random+heuristic,66,heuristic,random,2,heuristic,10,,,,,80
20260420_221009,2,random+heuristic,67,heuristic,random,3,heuristic,10,,,,,71
20260420_221009,2,random+heuristic,68,heuristic,random,2,heuristic,10,,,,,65
20260420_221009,2,random+heuristic,69,heuristic,random,2,heuristic,10,,,,,52
20260420_221009,2,random+heuristic,70,heuristic,random,3,heuristic,11,,,,,156
20260420_221009,2,random+heuristic,71,heuristic,random,2,heuristic,10,,,,,63
20260420_221009,2,random+heuristic,72,heuristic,random,2,heuristic,10,,,,,80
20260420_221009,2,random+heuristic,73,heuristic,random,2,heuristic,10,,,,,71
20260420_221009,2,random+heuristic,74,heuristic,random,2,heuristic,10,,,,,81
20260420_221009,2,random+heuristic,75,heuristic,random,2,heuristic,10,,,,,71
20260420_221009,2,random+heuristic,76,heuristic,random,3,heuristic,10,,,,,53
20260420_221009,2,random+heuristic,77,heuristic,random,2,heuristic,10,,,,,208
20260420_221009,2,random+heuristic,78,heuristic,random,5,heuristic,10,,,,,114
20260420_221009,2,random+heuristic,79,heuristic,random,2,heuristic,10,,,,,49
20260420_221009,2,random+heuristic,80,heuristic,random,4,heuristic,10,,,,,96
20260420_221009,2,random+heuristic,81,heuristic,random,2,heuristic,11,,,,,67
20260420_221009,2,random+heuristic,82,heuristic,random,3,heuristic,10,,,,,57
20260420_221009,2,random+heuristic,83,heuristic,random,2,heuristic,10,,,,,107
20260420_221009,2,random+heuristic,84,heuristic,random,2,heuristic,11,,,,,69
20260420_221009,2,random+heuristic,85,heuristic,random,2,heuristic,10,,,,,66
20260420_221009,2,random+heuristic,86,heuristic,random,2,heuristic,10,,,,,56
20260420_221009,2,random+heuristic,87,heuristic,random,2,heuristic,10,,,,,141
20260420_221009,2,random+heuristic,88,heuristic,random,2,heuristic,10,,,,,46
20260420_221009,2,random+heuristic,89,heuristic,random,2,heuristic,10,,,,,60
20260420_221009,2,random+heuristic,90,heuristic,random,1,heuristic,10,,,,,80
20260420_221009,2,random+heuristic,91,heuristic,random,2,heuristic,10,,,,,122
20260420_221009,2,random+heuristic,92,heuristic,random,2,heuristic,10,,,,,94
20260420_221009,2,random+heuristic,93,heuristic,random,1,heuristic,10,,,,,83
20260420_221009,2,random+heuristic,94,heuristic,random,2,heuristic,11,,,,,59
20260420_221009,2,random+heuristic,95,heuristic,random,2,heuristic,11,,,,,83
20260420_221009,2,random+heuristic,96,heuristic,random,2,heuristic,10,,,,,76
20260420_221009,2,random+heuristic,97,heuristic,random,3,heuristic,10,,,,,106
20260420_221009,2,random+heuristic,98,heuristic,random,3,heuristic,11,,,,,75
20260420_221009,2,random+heuristic,99,heuristic,random,2,heuristic,10,,,,,86
20260420_221009,2,random+heuristic,100,heuristic,random,2,heuristic,10,,,,,77
20260420_221009,2,random+heuristic,101,heuristic,random,3,heuristic,10,,,,,64
20260420_221009,2,random+heuristic,102,heuristic,random,2,heuristic,10,,,,,114
20260420_221009,2,random+heuristic,103,heuristic,random,2,heuristic,11,,,,,86
20260420_221009,2,random+heuristic,104,heuristic,random,2,heuristic,10,,,,,81
20260420_221009,2,random+heuristic,105,heuristic,random,2,heuristic,10,,,,,49
20260420_221009,2,random+heuristic,106,heuristic,random,3,heuristic,10,,,,,95
20260420_221009,2,random+heuristic,107,heuristic,random,3,heuristic,10,,,,,66
20260420_221009,2,random+heuristic,108,heuristic,random,5,heuristic,10,,,,,112
20260420_221009,2,random+heuristic,109,heuristic,random,2,heuristic,10,,,,,73
20260420_221009,2,random+heuristic,110,heuristic,random,2,heuristic,10,,,,,63
20260420_221009,2,random+heuristic,111,heuristic,random,2,heuristic,10,,,,,82
20260420_221009,2,random+heuristic,112,heuristic,random,2,heuristic,11,,,,,59
20260420_221009,2,random+heuristic,113,heuristic,random,5,heuristic,11,,,,,243
20260420_221009,2,random+heuristic,114,heuristic,random,3,heuristic,10,,,,,78
20260420_221009,2,random+heuristic,115,heuristic,random,2,heuristic,10,,,,,64
20260420_221009,2,random+heuristic,116,heuristic,random,2,heuristic,10,,,,,86
20260420_221009,2,random+heuristic,117,heuristic,random,2,heuristic,10,,,,,79
20260420_221009,2,random+heuristic,118,heuristic,random,2,heuristic,10,,,,,35
20260420_221009,2,random+heuristic,119,heuristic,random,4,heuristic,10,,,,,103
20260420_221009,2,random+heuristic,120,heuristic,random,2,heuristic,11,,,,,87
20260420_221009,2,random+heuristic,121,heuristic,random,2,heuristic,11,,,,,73
20260420_221009,2,random+heuristic,122,heuristic,random,2,heuristic,11,,,,,81
20260420_221009,2,random+heuristic,123,heuristic,random,2,heuristic,10,,,,,202
20260420_221009,2,random+heuristic,124,heuristic,random,3,heuristic,10,,,,,57
20260420_221009,2,random+heuristic,125,heuristic,random,3,heuristic,10,,,,,32
20260420_221009,2,random+heuristic,126,heuristic,random,3,heuristic,10,,,,,85
20260420_221009,2,random+heuristic,127,heuristic,random,2,heuristic,10,,,,,106
20260420_221009,2,random+heuristic,128,heuristic,random,2,heuristic,10,,,,,106
20260420_221009,2,random+heuristic,129,heuristic,random,2,heuristic,10,,,,,59
20260420_221009,2,random+heuristic,130,heuristic,random,2,heuristic,10,,,,,46
20260420_221009,2,random+heuristic,131,heuristic,random,2,heuristic,10,,,,,77
20260420_221009,2,random+heuristic,132,heuristic,random,2,heuristic,10,,,,,72
20260420_221009,2,random+heuristic,133,heuristic,random,2,heuristic,10,,,,,58
20260420_221009,2,random+heuristic,134,heuristic,random,1,heuristic,11,,,,,86
20260420_221009,2,random+heuristic,135,heuristic,random,2,heuristic,10,,,,,101
20260420_221009,2,random+heuristic,136,heuristic,random,3,heuristic,10,,,,,64
20260420_221009,2,random+heuristic,137,heuristic,random,3,heuristic,10,,,,,79
20260420_221009,2,random+heuristic,138,heuristic,random,2,heuristic,10,,,,,71
20260420_221009,2,random+heuristic,139,heuristic,random,4,heuristic,10,,,,,76
20260420_221009,2,random+heuristic,140,heuristic,random,2,heuristic,10,,,,,56
20260420_221009,2,random+heuristic,141,heuristic,random,2,heuristic,10,,,,,46
20260420_221009,2,random+heuristic,142,heuristic,random,3,heuristic,11,,,,,111
20260420_221009,2,random+heuristic,143,heuristic,random,2,heuristic,10,,,,,57
20260420_221009,2,random+heuristic,144,heuristic,random,2,heuristic,10,,,,,77
20260420_221009,2,random+heuristic,145,heuristic,random,2,heuristic,10,,,,,75
20260420_221009,2,random+heuristic,146,heuristic,random,2,heuristic,10,,,,,115
20260420_221009,2,random+heuristic,147,heuristic,random,2,heuristic,11,,,,,59
20260420_221009,2,random+heuristic,148,heuristic,random,2,heuristic,10,,,,,43
